id,firstname,lastname,age,email,email2,city_desired,travel_time,distance_km
1,Elmira,Cristi,51,Elmira.Cristi@email.com,Elmira.Cristi@gmail.com,Santos,4,886.72
2,Joleen,Rudolph,66,Joleen.Rudolph@email.com,Joleen.Rudolph@gmail.com,Rio de Janeiro,3,682.78
3,Chickie,Bow,39,Chickie.Bow@email.com,Chickie.Bow@gmail.com,Guaratinguetá,4,95.51
4,Zondra,Arley,65,Zondra.Arley@email.com,Zondra.Arley@gmail.com,Angra dos Reis,1,449.07
5,Annora,Nickola,20,Annora.Nickola@email.com,Annora.Nickola@gmail.com,Guaratinguetá,5,255.41
6,Reeba,Corrine,46,Reeba.Corrine@email.com,Reeba.Corrine@gmail.com,Vitória,1,440.71
7,Lisette,Penelopa,31,Lisette.Penelopa@email.com,Lisette.Penelopa@gmail.com,Penedo,2,933.65
8,Kirbee,Bergman,37,Kirbee.Bergman@email.com,Kirbee.Bergman@gmail.com,Santos,3,562.17
9,Lisette,Curren,53,Lisette.Curren@email.com,Lisette.Curren@gmail.com,Guaratinguetá,3,947.82
10,Heddie,Hermes,65,Heddie.Hermes@email.com,Heddie.Hermes@gmail.com,"Trindade ",4,614.4
11,Andeee,Hull,70,Andeee.Hull@email.com,Andeee.Hull@gmail.com,São Paulo,4,581.37
12,Oona,Bronk,34,Oona.Bronk@email.com,Oona.Bronk@gmail.com,Angra dos Reis,5,903.18
13,Fidelia,Hathaway,59,Fidelia.Hathaway@email.com,Fidelia.Hathaway@gmail.com,Vitória,2,206.82
14,Berta,Suzetta,55,Berta.Suzetta@email.com,Berta.Suzetta@gmail.com,Angra dos Reis,1,507.52
15,Britte,Allys,58,Britte.Allys@email.com,Britte.Allys@gmail.com,Penedo,4,794.83
16,Fredericka,Cottle,22,Fredericka.Cottle@email.com,Fredericka.Cottle@gmail.com,Angra dos Reis,4,831.85
17,Aurelie,Rurik,50,Aurelie.Rurik@email.com,Aurelie.Rurik@gmail.com,Rio de Janeiro,4,620.4
18,Kylynn,Frendel,21,Kylynn.Frendel@email.com,Kylynn.Frendel@gmail.com,Santos,1,190.82
19,Flory,Lareena,21,Flory.Lareena@email.com,Flory.Lareena@gmail.com,São Paulo,1,701.82
